Tên sản phẩm,Giá
Asus Vivobook Go 15 E1504FA R5 7520U (NJ776W),12.990.000₫
HP 15 fc0085AU R5 7430U (A6VV8PA),13.690.000₫
Dell Inspiron 15 3520 i5 1235U (N5I5057W1),16.490.000₫
MacBook Air 13 inch M4 16GB/256GB,26.990.000₫
Acer Aspire 7 A715 76 53PJ i5 12450H (NH.QGESV.007),13.990.000₫
HP 15 fd0234TU i5 1334U (9Q969PA),15.890.000₫
Acer Aspire Go AG15 31P 30M4 i3 N305 (NX.KRPSV.004),10.090.000₫
Asus Vivobook 15 OLED A1505ZA i5 12500H (MA415W),16.690.000₫
Lenovo Gaming LOQ Essential 15IAX9E i5 12450HX (83LK000BVN),17.690.000₫
MSI Modern 15 F13MG i5 1335U (082VN),14.190.000₫
HP 15 fd0303TU i3 1315U (A2NL4PA),11.490.000₫
MacBook Air 13 inch M1 8GB/256GB,17.490.000₫
Dell Inspiron 15 3520 i7 1255U (N5I7125W1),19.490.000₫
Lenovo IdeaPad Slim 3 15IRH10 i5 13420H (83K1000HVN),15.690.000₫
Asus Vivobook X1404ZA i5 1235U (NK376W),14.490.000₫
MSI Gaming Thin 15 B12UCX i5 12450H (2046VN),15.690.000₫
Acer Aspire 3 A314 42P R3B3 R7 5700U (NX.KSFSV.001),12.690.000₫
Dell Inspiron 15 3520 i5 1235U,16.490.000₫
HP 245 G10 R5 7530U (A20TDPT),12.690.000₫
Asus Vivobook 15 X1504ZA i5 1235U (NJ1608W),14.490.000₫
